  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0010                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =   105.160 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -25.000  -2.0790   0.06403   0.06154  -0.0223   1.0000   0.0017
 -24.000  -2.1542   0.04270   0.03993  -0.0313   1.0000   0.0017
 -23.000  -2.1717   0.03093   0.02798  -0.0329   1.0000   0.0017
 -22.000  -2.1608   0.02401   0.02093  -0.0297   1.0000   0.0017
 -21.000  -2.1346   0.01990   0.01672  -0.0229   1.0000   0.0017
 -20.000  -2.0994   0.01746   0.01421  -0.0133   1.0000   0.0017
 -19.000  -2.0281   0.01561   0.01234  -0.0086   1.0000   0.0018
 -18.000  -1.9477   0.01406   0.01068  -0.0050   0.9477   0.0022
 -17.000  -1.8598   0.01263   0.00914  -0.0023   0.8889   0.0025
 -16.000  -1.7667   0.01134   0.00776  -0.0003   0.8336   0.0028
 -14.000  -1.5657   0.00954   0.00583   0.0020   0.7353   0.0029
 -13.000  -1.4612   0.00880   0.00504   0.0027   0.6860   0.0029
 -12.000  -1.3551   0.00810   0.00430   0.0032   0.6372   0.0035
 -11.000  -1.2479   0.00741   0.00357   0.0036   0.5909   0.0044
 -10.000  -1.1383   0.00691   0.00303   0.0037   0.5444   0.0044
  -9.000  -1.0275   0.00645   0.00254   0.0036   0.5000   0.0054
  -5.000  -0.5757   0.00516   0.00115   0.0026   0.3204   0.0139
  -4.000  -0.4610   0.00498   0.00094   0.0021   0.2752   0.0195
  -3.000  -0.3461   0.00483   0.00078   0.0016   0.2298   0.0293
  -2.000  -0.2309   0.00472   0.00066   0.0011   0.1857   0.0473
  -1.000  -0.1155   0.00466   0.00058   0.0005   0.1415   0.0716
  -0.000   0.0000   0.00464   0.00056  -0.0000   0.1040   0.1060
   1.000   0.1155   0.00467   0.00059  -0.0006   0.0696   0.1416
   2.000   0.2309   0.00472   0.00066  -0.0011   0.0476   0.1857
   3.000   0.3461   0.00483   0.00078  -0.0016   0.0294   0.2300
   4.000   0.4611   0.00498   0.00094  -0.0021   0.0195   0.2746
   5.000   0.5758   0.00516   0.00115  -0.0026   0.0140   0.3198
   6.000   0.6899   0.00540   0.00141  -0.0030   0.0103   0.3654
   9.000   1.0278   0.00646   0.00255  -0.0037   0.0054   0.4997
  10.000   1.1386   0.00691   0.00303  -0.0037   0.0044   0.5460
  11.000   1.2482   0.00742   0.00358  -0.0036   0.0043   0.5904
  12.000   1.3555   0.00811   0.00431  -0.0032   0.0035   0.6374
  13.000   1.4617   0.00880   0.00504  -0.0028   0.0029   0.6854
  14.000   1.5662   0.00954   0.00584  -0.0021   0.0029   0.7352
  15.000   1.6684   0.01038   0.00673  -0.0012   0.0029   0.7839
  16.000   1.7674   0.01135   0.00777   0.0001   0.0028   0.8334
  17.000   1.8605   0.01265   0.00916   0.0021   0.0025   0.8902
  18.000   1.9486   0.01406   0.01069   0.0048   0.0021   0.9489
  19.000   2.0291   0.01563   0.01235   0.0084   0.0018   1.0000
  22.000   2.1634   0.02398   0.02090   0.0292   0.0017   1.0000
  23.000   2.1752   0.03084   0.02788   0.0324   0.0017   1.0000
  24.000   2.1586   0.04252   0.03974   0.0308   0.0017   1.0000
  25.000   2.0843   0.06376   0.06127   0.0218   0.0017   1.0000
  26.000   1.8500   0.11090   0.10894  -0.0038   0.0017   1.0000
  28.000   1.1947   0.29067   0.29025  -0.1360   0.0017   1.0000
  29.000   1.1902   0.31488   0.31455  -0.1542   0.0017   1.0000
  30.000   1.2012   0.33261   0.33232  -0.1686   0.0015   1.0000
