X,FOIL,Versio,n 6.99,,,
,,,,,,
Calcula,ted polar,for: NACA,10,,,
,,,,,,
1 1 Rey,nolds num,ber fixed,M,ach numbe,r fixed,
,,,,,,
xtrf =,1.000 (,top),1.000 (b,ottom),,
Mach =,0,Re =,14.700 e,6     Ncr,it =   9.,0
,,,,,,
alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
------,--------,---------,---------,--------,--------,--------
-25,-1.0906,0.26681,0.26621,0.1118,1,0.0029
-24,-1.0838,0.24734,0.24667,0.0974,1,0.0029
-23,-1.6088,0.11002,0.10799,0.0061,1,0.0029
-22,-1.8412,0.05978,0.05706,-0.0214,1,0.0029
-21,-1.8975,0.04009,0.03702,-0.0299,1,0.0029
-20,-1.9014,0.0297,0.02639,-0.0306,1,0.0029
-19,-1.8817,0.02391,0.02041,-0.026,1,0.0029
-18,-1.848,0.02054,0.0169,-0.0179,1,0.0029
-17,-1.7898,0.01794,0.01416,-0.0115,1,0.0032
-16,-1.7119,0.01576,0.01191,-0.0077,1,0.0038
-15,-1.624,0.01401,0.01012,-0.0051,1,0.0042
-14,-1.529,0.01264,0.00871,-0.0033,1,0.0044
-13,-1.4298,0.01147,0.00752,-0.0019,1,0.0044
-12,-1.3295,0.01022,0.00625,-0.0006,1,0.0055
-11,-1.2262,0.00922,0.00527,0.0004,1,0.0062
-10,-1.1207,0.00838,0.00444,0.0012,0.9996,0.0068
-9,-1.0029,0.00754,0.00364,-0.0007,0.9929,0.0084
-8,-0.8961,0.00689,0.00299,0.0003,0.9632,0.0105
-7,-0.7879,0.00642,0.00243,0.001,0.9078,0.0132
-6,-0.6772,0.00606,0.00194,0.0012,0.8291,0.0176
-5,-0.5654,0.00577,0.00153,0.0012,0.7378,0.0263
-4,-0.4528,0.00555,0.00119,0.0011,0.6449,0.0412
-3,-0.3399,0.00533,0.00091,0.0009,0.5531,0.0726
-2,-0.2267,0.00514,0.00071,0.0006,0.4661,0.1263
-1,-0.1133,0.005,0.00058,0.0003,0.3782,0.201
0,0,0.00494,0.00053,0,0.2882,0.2887
1,0.1134,0.00499,0.00058,-0.0003,0.2039,0.3791
2,0.2267,0.00513,0.00071,-0.0006,0.1268,0.4665
3,0.3399,0.00534,0.00091,-0.0009,0.0721,0.5534
4,0.4529,0.00555,0.00119,-0.0011,0.0412,0.6442
5,0.5655,0.00577,0.00153,-0.0013,0.0263,0.7377
6,0.6774,0.00606,0.00194,-0.0013,0.0176,0.8294
7,0.7882,0.00642,0.00243,-0.0011,0.0132,0.9079
8,0.8964,0.00689,0.003,-0.0003,0.0105,0.9631
9,1.0031,0.00754,0.00364,0.0006,0.0084,0.9927
10,1.1205,0.00839,0.00444,-0.0012,0.0068,0.9996
11,1.2263,0.00922,0.00527,-0.0004,0.0062,1
12,1.3297,0.01023,0.00626,0.0006,0.0055,1
13,1.4302,0.01148,0.00752,0.0019,0.0044,1
14,1.5294,0.01265,0.00872,0.0032,0.0044,1
15,1.6246,0.01402,0.01012,0.005,0.0042,1
16,1.7126,0.01577,0.01192,0.0076,0.0038,1
17,1.7906,0.01795,0.01417,0.0114,0.0032,1
18,1.8497,0.02053,0.01689,0.0176,0.0029,1
19,1.8837,0.02389,0.02039,0.0256,0.0029,1
20,1.9042,0.02963,0.02631,0.0303,0.0029,1
21,1.9007,0.03998,0.03691,0.0295,0.0029,1
22,1.8464,0.05942,0.05669,0.0211,0.0029,1
23,1.6159,0.10935,0.10732,-0.0063,0.0029,1
24,1.0981,0.24331,0.2426,-0.095,0.0029,1
25,1.0922,0.2679,0.2673,-0.1123,0.0029,1
26,1.1035,0.28647,0.28593,-0.126,0.0026,1
29,1.1455,0.3589,0.35848,-0.171,0.0004,1
30,1.1711,0.36917,0.36876,-0.1815,0.0004,1
