  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0010                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =    16.301 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -25.000  -1.1047   0.26086   0.26023   0.1083   1.0000   0.0029
 -24.000  -1.1012   0.24096   0.24026   0.0935   1.0000   0.0029
 -23.000  -1.7193   0.09174   0.08948  -0.0046   1.0000   0.0029
 -22.000  -1.8789   0.05447   0.05167  -0.0242   1.0000   0.0029
 -21.000  -1.9208   0.03738   0.03426  -0.0308   1.0000   0.0029
 -20.000  -1.9189   0.02819   0.02485  -0.0302   1.0000   0.0029
 -19.000  -1.8957   0.02299   0.01948  -0.0248   1.0000   0.0029
 -18.000  -1.8603   0.01994   0.01630  -0.0162   1.0000   0.0029
 -17.000  -1.7941   0.01762   0.01387  -0.0110   1.0000   0.0030
 -16.000  -1.7150   0.01550   0.01168  -0.0074   1.0000   0.0036
 -15.000  -1.6270   0.01372   0.00986  -0.0047   1.0000   0.0042
 -14.000  -1.5316   0.01237   0.00847  -0.0029   1.0000   0.0044
 -12.000  -1.3309   0.01006   0.00613  -0.0004   1.0000   0.0053
 -11.000  -1.2276   0.00904   0.00514   0.0006   1.0000   0.0061
 -10.000  -1.1193   0.00823   0.00434   0.0008   0.9987   0.0065
  -9.000  -1.0043   0.00741   0.00356  -0.0004   0.9871   0.0083
  -8.000  -0.8982   0.00681   0.00293   0.0007   0.9505   0.0103
  -7.000  -0.7892   0.00637   0.00239   0.0013   0.8867   0.0128
  -6.000  -0.6782   0.00602   0.00191   0.0014   0.8018   0.0173
  -5.000  -0.5661   0.00575   0.00151   0.0013   0.7124   0.0253
  -4.000  -0.4534   0.00551   0.00117   0.0012   0.6229   0.0403
  -3.000  -0.3403   0.00531   0.00090   0.0009   0.5336   0.0696
  -2.000  -0.2269   0.00514   0.00071   0.0006   0.4476   0.1195
  -1.000  -0.1135   0.00499   0.00058   0.0003   0.3618   0.1918
  -0.000   0.0000   0.00494   0.00054  -0.0000   0.2745   0.2746
   1.000   0.1136   0.00498   0.00058  -0.0003   0.1940   0.3624
   2.000   0.2270   0.00513   0.00070  -0.0007   0.1217   0.4470
   3.000   0.3403   0.00532   0.00091  -0.0009   0.0684   0.5340
   4.000   0.4535   0.00552   0.00117  -0.0012   0.0403   0.6211
   5.000   0.5663   0.00575   0.00151  -0.0014   0.0253   0.7121
   6.000   0.6784   0.00602   0.00191  -0.0014   0.0174   0.8025
   7.000   0.7895   0.00637   0.00239  -0.0013   0.0128   0.8865
   8.000   0.8986   0.00681   0.00294  -0.0008   0.0102   0.9501
   9.000   1.0046   0.00741   0.00356   0.0003   0.0083   0.9867
  10.000   1.1191   0.00824   0.00435  -0.0008   0.0065   0.9986
  11.000   1.2277   0.00904   0.00514  -0.0006   0.0061   1.0000
  12.000   1.3311   0.01007   0.00614   0.0004   0.0052   1.0000
  14.000   1.5321   0.01237   0.00848   0.0028   0.0044   1.0000
  15.000   1.6276   0.01373   0.00986   0.0046   0.0042   1.0000
  16.000   1.7157   0.01551   0.01168   0.0072   0.0036   1.0000
  17.000   1.7949   0.01763   0.01387   0.0108   0.0030   1.0000
  18.000   1.8618   0.01994   0.01630   0.0159   0.0029   1.0000
  19.000   1.8977   0.02298   0.01946   0.0245   0.0029   1.0000
  20.000   1.9216   0.02812   0.02478   0.0298   0.0029   1.0000
  21.000   1.9238   0.03728   0.03417   0.0304   0.0029   1.0000
  22.000   1.8837   0.05418   0.05138   0.0239   0.0029   1.0000
  23.000   1.7255   0.09123   0.08896   0.0043   0.0029   1.0000
  24.000   1.1192   0.23583   0.23507  -0.0903   0.0029   1.0000
  25.000   1.1066   0.26185   0.26122  -0.1088   0.0029   1.0000
  26.000   1.1048   0.28585   0.28532  -0.1257   0.0025   1.0000
  27.000   1.1173   0.30524   0.30475  -0.1398   0.0020   1.0000
  28.000   1.1233   0.33474   0.33433  -0.1572   0.0012   1.0000
  29.000   0.7055   0.30362   0.30329  -0.0895   0.0004   1.0000
  30.000   0.7145   0.31494   0.31461  -0.0951   0.0003   1.0000
