  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0010                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =    94.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -25.000  -2.0421   0.06913   0.06669  -0.0196   1.0000   0.0017
 -24.000  -2.1323   0.04537   0.04262  -0.0302   1.0000   0.0017
 -23.000  -2.1568   0.03235   0.02941  -0.0329   1.0000   0.0017
 -22.000  -2.1489   0.02489   0.02181  -0.0303   1.0000   0.0017
 -21.000  -2.1241   0.02045   0.01727  -0.0240   1.0000   0.0017
 -20.000  -2.0919   0.01782   0.01456  -0.0143   1.0000   0.0017
 -19.000  -2.0240   0.01589   0.01259  -0.0092   1.0000   0.0019
 -18.000  -1.9435   0.01418   0.01086  -0.0057   1.0000   0.0023
 -17.000  -1.8579   0.01266   0.00924  -0.0026   0.9459   0.0026
 -16.000  -1.7646   0.01145   0.00792  -0.0006   0.8853   0.0029
 -15.000  -1.6658   0.01048   0.00688   0.0008   0.8303   0.0029
 -14.000  -1.5641   0.00964   0.00596   0.0018   0.7753   0.0029
 -13.000  -1.4599   0.00889   0.00515   0.0025   0.7231   0.0029
 -12.000  -1.3541   0.00816   0.00437   0.0030   0.6745   0.0037
 -11.000  -1.2469   0.00747   0.00364   0.0034   0.6238   0.0044
 -10.000  -1.1374   0.00698   0.00310   0.0035   0.5735   0.0044
  -9.000  -1.0269   0.00650   0.00258   0.0036   0.5258   0.0057
  -8.000  -0.9152   0.00609   0.00214   0.0034   0.4775   0.0063
  -7.000  -0.8028   0.00573   0.00175   0.0032   0.4300   0.0083
  -6.000  -0.6894   0.00544   0.00143   0.0029   0.3825   0.0107
  -5.000  -0.5753   0.00520   0.00117   0.0025   0.3370   0.0140
  -4.000  -0.4608   0.00502   0.00095   0.0021   0.2901   0.0206
  -3.000  -0.3458   0.00487   0.00078   0.0016   0.2445   0.0310
  -2.000  -0.2307   0.00474   0.00065   0.0011   0.1991   0.0502
  -1.000  -0.1154   0.00470   0.00058   0.0005   0.1520   0.0732
   1.000   0.1154   0.00470   0.00058  -0.0005   0.0728   0.1515
   2.000   0.2308   0.00474   0.00065  -0.0011   0.0502   0.1995
   3.000   0.3459   0.00487   0.00078  -0.0016   0.0311   0.2444
   4.000   0.4608   0.00502   0.00095  -0.0021   0.0207   0.2898
   5.000   0.5754   0.00521   0.00117  -0.0025   0.0141   0.3363
   6.000   0.6895   0.00544   0.00143  -0.0029   0.0107   0.3824
   7.000   0.8029   0.00573   0.00175  -0.0033   0.0084   0.4296
   8.000   0.9155   0.00609   0.00214  -0.0035   0.0063   0.4772
   9.000   1.0272   0.00650   0.00259  -0.0036   0.0056   0.5248
  10.000   1.1377   0.00698   0.00310  -0.0036   0.0044   0.5748
  11.000   1.2473   0.00748   0.00364  -0.0035   0.0044   0.6233
  12.000   1.3545   0.00817   0.00438  -0.0031   0.0036   0.6746
  13.000   1.4604   0.00889   0.00515  -0.0026   0.0030   0.7227
  16.000   1.7653   0.01145   0.00793   0.0004   0.0029   0.8856
  17.000   1.8586   0.01269   0.00927   0.0024   0.0026   0.9463
  18.000   1.9444   0.01419   0.01087   0.0055   0.0023   1.0000
  19.000   2.0250   0.01591   0.01261   0.0090   0.0019   1.0000
  20.000   2.0935   0.01783   0.01457   0.0140   0.0017   1.0000
  23.000   2.1602   0.03226   0.02931   0.0324   0.0017   1.0000
  24.000   2.1371   0.04512   0.04236   0.0298   0.0017   1.0000
  25.000   2.0474   0.06884   0.06639   0.0191   0.0017   1.0000
  26.000   1.7788   0.12243   0.12059  -0.0110   0.0017   1.0000
  28.000   1.1805   0.29705   0.29666  -0.1398   0.0017   1.0000
  29.000   1.1896   0.31510   0.31477  -0.1543   0.0017   1.0000
  30.000   1.2012   0.33250   0.33221  -0.1686   0.0016   1.0000
