X,FOIL,Versio,n 6.99,,,
,,,,,,
Calcula,ted polar,for: NACA,10,,,
,,,,,,
1 1 Rey,nolds num,ber fixed,M,ach numbe,r fixed,
,,,,,,
xtrf =,1.000 (,top),1.000 (b,ottom),,
Mach =,0,Re =,5.252 e,6     Ncr,it =   9.,0
,,,,,,
alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
------,--------,---------,---------,--------,--------,--------
,,,,,,
-24,-1.0858,0.2485,0.24764,0.1066,1,0.0041
-23.5,-1.085,0.23812,0.23721,0.0986,1,0.0043
-23,-1.0846,0.22799,0.22702,0.0909,1,0.0045
-22.5,-1.0881,0.21686,0.21582,0.0824,1,0.0046
-22,-1.0975,0.20426,0.20317,0.073,1,0.0048
-21.5,-1.1439,0.18242,0.18117,0.0573,1,0.0049
-21,-1.3132,0.13613,0.13441,0.0255,1,0.0046
-20.5,-1.5975,0.07729,0.0748,-0.0092,1,0.0043
-20,-1.6733,0.05825,0.05544,-0.0198,1,0.0043
-19.5,-1.708,0.04652,0.04347,-0.0259,1,0.0044
-19,-1.7218,0.03869,0.03545,-0.029,1,0.0044
-18.5,-1.7241,0.03319,0.02979,-0.0297,1,0.0045
-18,-1.7188,0.02925,0.02572,-0.0287,1,0.0045
-17.5,-1.7077,0.0264,0.02274,-0.0263,1,0.0046
-17,-1.7,0.02376,0.01995,-0.0223,1,0.0047
-16.5,-1.6844,0.02195,0.01804,-0.0177,1,0.0049
-16,-1.6555,0.02052,0.01653,-0.0146,1,0.0051
-15.5,-1.6198,0.01927,0.01521,-0.0125,1,0.0052
-15,-1.5805,0.01816,0.01402,-0.0107,1,0.0054
-14.5,-1.5384,0.01717,0.01297,-0.0092,1,0.0055
-14,-1.4969,0.01598,0.01171,-0.0076,1,0.0059
-13.5,-1.452,0.01506,0.01074,-0.0064,1,0.0061
-13,-1.405,0.01426,0.0099,-0.0054,1,0.0064
-12.5,-1.3574,0.01348,0.00908,-0.0044,1,0.0067
-12,-1.3093,0.01268,0.00825,-0.0035,1,0.0072
-11.5,-1.2596,0.01204,0.00758,-0.0028,1,0.0075
-11,-1.2096,0.01138,0.00689,-0.0021,1,0.008
-10.5,-1.1592,0.01078,0.00628,-0.0013,1,0.0086
